,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
0,Rice,10-1-0,90.9,9.1,11.8,2007,107,3-9,3-8,-0.67,-0.73,-0.69,-0.98,-1.08,-0.106,-1.07,0.34,1.33,3.83
1,Florida,10-2-0,83.3,16.7,13.3,2007,4,9-4,8-4,0.91,1.5,0.29,1.13,1.15,0.114,1.28,1.12,4.32,8.67
2,Central Michigan,10-3-0,76.9,23.1,10.6,2007,78,8-6,8-5,-0.25,0.1,-0.57,0.14,0.17,-0.006,-0.1,0.55,1.81,4.3
3,Toledo,8-3-0,72.7,27.3,10.6,2007,98,5-7,4-7,-0.56,-0.49,-0.81,-0.7,-0.75,-0.072,-0.78,0.37,1.1,3.27
4,Ohio,8-3-0,72.7,27.3,10.0,2007,94,6-6,5-6,-0.54,-0.97,-0.29,-0.31,-0.19,-0.071,-0.32,0.23,0.61,2.04
5,Kansas State,8-3-0,72.7,27.3,8.9,2007,51,5-7,4-7,0.16,-0.4,0.54,-0.2,-0.1,-0.013,-0.38,0.97,3.32,6.59
6,LSU,9-4-1,69.2,30.8,7.9,2007,3,12-2,12-2,0.93,0.5,1.39,1.43,1.48,0.163,0.97,1.33,4.8,9.23
7,Florida Atlantic,9-4-0,69.2,30.8,6.1,2007,76,8-5,8-5,-0.21,-0.48,0.34,0.13,0.07,-0.015,0.44,0.75,2.42,5.23
8,Texas,9-4-0,69.2,30.8,5.2,2007,16,10-3,10-3,0.55,0.27,0.75,0.82,0.85,0.11,1.12,0.78,3.17,7.25
9,Washington,9-4-0,69.2,30.8,4.8,2007,42,4-9,4-9,0.21,-0.01,0.44,-0.23,-0.22,-0.046,-0.45,1.11,4.38,8.93
10,South Florida,8-4-0,66.7,33.3,8.7,2007,12,9-4,8-4,0.63,-0.18,1.38,0.67,0.69,0.097,0.58,1.02,3.77,7.81
11,Wisconsin,8-4-0,66.7,33.3,1.3,2007,31,9-4,8-4,0.34,-0.01,0.55,0.3,0.48,0.068,0.16,0.75,3.07,6.77
12,Arkansas,8-4-0,66.7,33.3,8.1,2007,15,8-5,7-5,0.56,0.34,0.86,0.8,0.75,0.095,1.27,1.15,4.07,7.75
13,Illinois,8-4-0,66.7,33.3,0.0,2007,24,9-4,8-4,0.45,0.11,0.86,0.57,0.59,0.032,0.93,1.13,3.65,7.22
14,San Diego State,7-4-0,63.6,36.4,6.4,2007,92,4-8,3-8,-0.49,-0.42,-0.6,-1.11,-1.15,-0.171,-1.22,0.43,2.25,5.86
15,Minnesota,7-4-0,63.6,36.4,5.7,2007,82,1-11,1-10,-0.36,-0.45,-0.39,-0.93,-0.89,-0.101,-1.31,0.57,2.39,5.82
16,Wake Forest,8-5-0,61.5,38.5,2.7,2007,41,9-4,9-4,0.22,-0.78,0.94,0.19,0.18,0.016,-0.02,0.4,2.43,6.86
17,Missouri,8-5-0,61.5,38.5,0.3,2007,5,12-2,11-2,0.9,0.75,0.82,1.0,1.13,0.119,1.08,1.39,4.58,8.83
18,Michigan State,8-5-0,61.5,38.5,7.8,2007,32,7-6,7-6,0.32,0.04,0.68,0.57,0.5,0.11,0.29,0.64,2.89,7.03
19,Bowling Green,7-5-0,58.3,41.7,1.8,2007,91,8-5,7-5,-0.46,-0.67,-0.31,-0.21,-0.08,-0.029,-0.05,0.21,0.89,3.09
20,Fresno State,7-5-0,58.3,41.7,1.8,2007,59,9-4,8-4,0.03,0.01,0.03,0.37,0.47,0.068,0.36,0.4,1.85,4.68
21,Ohio State,7-5-0,58.3,41.7,-4.1,2007,7,11-2,10-2,0.81,0.02,1.6,1.42,1.56,0.23,2.26,0.79,3.17,6.89
22,Kentucky,7-5-0,58.3,41.7,4.8,2007,23,8-5,7-5,0.45,0.35,0.64,0.4,0.42,0.033,0.18,1.29,4.36,8.24
23,Wyoming,7-5-0,58.3,41.7,0.8,2007,87,5-7,5-7,-0.4,-1.26,0.65,-0.28,-0.33,-0.016,-0.18,0.25,1.71,5.22
24,Navy,7-5-0,58.3,41.7,13.9,2007,70,8-5,8-4,-0.11,0.76,-1.13,0.17,0.15,0.002,0.23,0.2,1.32,4.31
25,Akron,7-5-0,58.3,41.7,-0.3,2007,104,4-8,4-8,-0.61,-1.38,-0.08,-0.78,-0.67,-0.132,-1.01,0.4,1.24,3.48
26,Kent State,6-5-0,54.6,45.5,1.2,2007,111,3-9,2-9,-0.79,-1.23,-0.3,-0.71,-0.78,-0.054,-0.68,0.44,1.24,3.09
27,North Texas,6-5-0,54.6,45.5,9.4,2007,117,2-10,1-10,-0.89,-1.08,-0.53,-1.25,-1.42,-0.147,-1.75,0.57,1.71,4.03
28,Western Michigan,6-5-0,54.6,45.5,-4.8,2007,83,5-7,4-7,-0.36,-1.08,0.25,-0.34,-0.34,-0.037,-0.74,0.78,1.93,3.96
29,Louisiana,6-5-0,54.6,45.5,0.5,2007,108,3-9,3-8,-0.67,-0.35,-0.64,-0.51,-0.63,-0.059,0.1,0.27,1.37,4.04
30,Eastern Michigan,6-5-0,54.6,45.5,3.7,2007,105,4-8,3-8,-0.64,-0.74,-0.53,-0.73,-0.9,-0.142,-1.3,0.2,0.97,3.6
31,Ole Miss,6-5-0,54.6,45.5,-2.6,2007,65,3-9,2-9,-0.09,-0.58,0.41,-0.82,-0.87,-0.101,-0.07,1.58,4.65,7.8
32,Colorado State,6-5-0,54.6,45.5,2.3,2007,80,3-9,2-9,-0.33,-0.64,0.06,-0.51,-0.56,-0.026,-0.66,0.24,1.72,5.32
33,NC State,6-5-0,54.6,45.5,-1.5,2007,75,5-7,4-7,-0.21,-0.87,0.62,-0.58,-0.62,-0.066,-0.37,0.39,2.56,6.84
34,Georgia Tech,6-5-1,54.6,45.5,-1.1,2007,52,7-6,6-6,0.14,-0.51,0.63,-0.04,0.11,0.058,0.14,0.71,2.93,6.73
35,Baylor,6-5-0,54.6,45.5,-1.6,2007,93,3-9,2-9,-0.51,-1.11,0.17,-1.26,-1.38,-0.186,-1.13,1.02,3.69,7.2
36,UTEP,6-5-0,54.6,45.5,4.2,2007,95,4-8,3-8,-0.54,-0.48,-0.71,-0.75,-0.64,-0.142,-0.81,0.23,1.21,3.92
37,Louisville,6-5-0,54.6,45.5,0.8,2007,48,6-6,5-6,0.17,0.39,0.07,0.02,-0.02,0.004,-0.22,0.91,3.35,6.95
